Titel;Institut;"Anzahl Teams";"Min. Teamgröße";"Max. Teamgröße"
"3D Reconstruction Framework from Multi-View Images (3D-MuVi)";"IOSB Beyerer";1;5;6
"Android-Applikation KIT-Mensa-Speiseplan";"IPD Koziolek/Reussner";4;5;6
"Assistenztools für den Maschinenbau";"IOSB Beyerer";1;5;6
"ChronoCommand - An Intelligent Web-Based Work Time Tracking Tool";"TM Beigl";2;5;6
"Crowd Control -- Entwicklung von Steuerungsmechanismen für das Crowd Computing";"IPD Böhm";2;5;6
"DataDealer - Middelware für die interaktive Visualisierung verteilter Sensoren in WebApps";"TM Beigl";2;5;6
"DataScientist -- benutzerorientierte Analyse großer hochdimensionaler Datenbestände";"IPD Böhm";2;5;6
"Der Microsoft Imagine Cup 2016 (nur 4er Teams)";"IPD Tichy";3;4;4
"Der WorkspaceService - Die smarte Lernumgebung am KIT basierend auf HTML5 und REST";"TM Abeck";1;5;6
"Distributed Camera Network 3D Calibration Suite";"IOSB Beyerer";1;5;6
"Dynamic scheduler for scientific simulations";"SCC Streit";1;5;6
"Echtzeit-Computergrafik in der Spieleentwicklung";"IVD Dachsbacher";1;5;6
"Industrie 4.0 und OPC UA";"IOSB Beyerer";1;5;6
"Interaktive Visualisierung von Real-Estate-Daten";"IPD Tichy";1;5;6
"Komponenten-Windkanal - Automatisches Ausmessen der Performance von Software-Komponenten";"IPD Koziolek/Reussner";1;5;6
"Medienbrowser zur inhaltsbasierten Suche in Bild- und Videodaten";"IOSB Beyerer";1;5;6
"Mobile Reconnaissance Manual -interaktive Assistenz für Erkennungsaufgaben";"IOSB Beyerer";1;5;6
"Modulares Multimedia-Werkzeug zum Testen von Videoencodern";"ITEC Henkel";2;5;6
"Node.js Bindings for ROOT6 (auf Englisch)";"SCC Streit";1;5;6
"OpenID Connect for Linux (auf Englisch)";"SCC Streit";1;5;6
"ProfiNet-Modul für das Intrusion-Detection-System Snort";"IOSB Beyerer";1;5;6
"RoboCorder - Aufnahme und Wiedergabe von heterogenen Sensordaten eines humanoiden Roboters";"IAR Asfour";1;5;6
"Webapplikation zur Verwaltung Nachbearbeitung und Analyse multispektraler Datensätze";"IOSB Beyerer";1;5;6
